setID	setSize	setScore	setP	setQ	setName	setID.orig
913	59	63.7734027150816	7.5999924000076e-05	0.0332307080694966	 Triglyceride Biosynthesis 	1328951
42	16	22.2591099942141	0.000636999363000637	0.0943591845737793	 Glycosaminoglycan degradation 	3018
1080	12	15.1776534120047	0.00146799853200147	0.0961682003262783	 Metabolism of porphyrins 	1329118
557	17	17.2188128495225	0.00148099851900148	0.0961682003262783	 Detoxification of Reactive Oxygen Species 	1328595
1583	28	31.5491988138197	0.00336999663000337	0.153964243098619	 Longevity regulating pathway - multiple species 	1340694
113	10	16.4345883438022	0.0041049958950041	0.153964243098619	 ECM-receptor interaction 	119912
23	15	21.3122909505788	0.00514591311641519	0.153964243098619	 Lysine degradation 	2994
116	767	595.839450884437	0.00522916121962373	0.153964243098619	 Metabolic pathways 	132021
36	32	28.0606146717389	0.00566403857973193	0.153964243098619	 Glutathione metabolism 	3011
659	17	19.2441790192862	0.0094462788031874	0.213492504807268	 Formation of Fibrin Clot (Clotting Cascade) 	1328697
866	393	314.189595770889	0.0129691975148782	0.251496644915207	 Metabolism 	1328904
681	13	15.8755836341179	0.0237908009509048	0.388006752107545	 ECM proteoglycans 	1328719
807	66	46.093707064403	0.0254548727256364	0.388006752107545	 Mitochondrial translation *	1328845
115	23	20.9727349338918	0.0327247954700283	0.432584714363745	 Peroxisome 	131134
1167	40	40.8231077282249	0.034559769601536	0.432584714363745	 Peptide hormone metabolism *	1329205
148	25	25.7874444671186	0.0425163123640636	0.494314119195884	 DNA Replication 	198272
39	11	13.8210513337432	0.0835986066898885	0.799791427392824	 Other glycan degradation 	3014
1176	15	14.5188017550392	0.0872985450242496	0.799791427392824	 Surfactant metabolism 	1329214
101	16	16.5337724983725	0.139121521961951	0.999174985209321	 Dorso-ventral axis formation 	3095
690	22	20.6826524921915	0.143171420714482	0.999174985209321	 COPII (Coat Protein 2) Mediated Vesicle Transport 	1328728
510	68	62.1986223526659	0.161370965725857	0.999174985209321	 M Phase 	1328548
111	44	38.2119325040401	0.167745806354841	0.999174985209321	 RNA degradation 	116168
1145	13	12.5450430780763	0.192426919102697	0.999174985209321	 N-glycan trimming in the ER and Calnexin/Calreticulin cycle 	1329183
1481	34	33.1819304505583	0.193793540215326	0.999174985209321	 Signaling by Hedgehog 	1329519
105	15	15.4664678301614	0.197160094663511	0.999174985209321	 Jak-STAT signaling pathway 	3100
1236	17	15.1625695442531	0.207026432452252	0.999174985209321	 Complement cascade *	1329274
571	11	11.467776224486	0.224925835805473	0.999174985209321	 HATs acetylate histones 	1328609
1344	12	9.50141054988619	0.242825239158695	0.999174985209321	 Energy dependent regulation of mTOR by LKB1-AMPK 	1329382
1474	23	17.0468361111932	0.252137393130344	0.999174985209321	 The retinoid cycle in cones (daylight vision) 	1329512
707	11	11.9737030274331	0.255037248137593	0.999174985209321	 ABC-family proteins mediated transport 	1328745
1449	13	10.1203082874023	0.265186740662967	0.999174985209321	 WNT ligand biogenesis and trafficking 	1329487
94	13	12.0868973270343	0.31868406579671	0.999174985209321	 MAPK signaling pathway - fly 	3084
477	11	8.41748750231538	0.40157992100395	0.999174985209321	 Cyclin E associated events during G1/S transition 	1328515
718	20	16.5926947192272	0.406629668516574	0.999174985209321	 Amino acid transport across the plasma membrane 	1328756
472	14	10.6103701987996	0.442377881105945	0.999174985209321	 Mitotic G1-G1/S phases 	1328510
484	13	9.62990867967877	0.448277586120694	0.999174985209321	 S Phase 	1328522
656	16	12.4689188255128	0.472076396180191	0.999174985209321	 Response to elevated platelet cytosolic Ca2+ 	1328694
153	67	48.0990762131391	0.489725513724314	0.999174985209321	 Ribosome biogenesis in eukaryotes 	199275
725	34	25.2666090409812	0.491225438728064	0.999174985209321	 Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds 	1328763
1465	10	7.88835468073406	0.492325383730813	0.999174985209321	 Signaling by Hippo 	1329503
1160	15	11.7657450294018	0.501549845015498	0.999174985209321	 SUMO E3 ligases SUMOylate target proteins 	1329198
815	24	17.3345858563495	0.505549445055494	0.999174985209321	 Intraflagellar transport 	1328853
76	36	29.6947889291212	0.505649435056494	0.999174985209321	 Aminoacyl-tRNA biosynthesis 	3065
456	11	8.21151425687287	0.512948705129487	0.999174985209321	 Cell Cycle Checkpoints 	1328494
1457	10	7.98528823289848	0.515148485151485	0.999174985209321	 Deactivation of the beta-catenin transactivating complex 	1329495
1574	11	9.12925147081343	0.56954304569543	0.999174985209321	 Apoptotic cleavage of cellular proteins 	1329612
1365	12	9.91048490503509	0.570842915708429	0.999174985209321	 PI3K/AKT activation *	1329403
776	17	12.9494692255843	0.587141285871413	0.999174985209321	 DNA Double-Strand Break Repair 	1328814
568	22	13.3990262602035	0.606839316068393	0.999174985209321	 Macroautophagy 	1328606
630	10	7.40079493465505	0.61043895610439	0.999174985209321	 Tandem pore domain potassium channels 	1328668
107	33	22.319362380952	0.617138286171383	0.999174985209321	 Lysosome 	96901
1178	20	14.430077377407	0.622037796220378	0.999174985209321	 Adaptive Immune System 	1329216
1376	31	24.0932295818349	0.62973702629737	0.999174985209321	 Signaling by ERBB2 *	1329414
1350	12	10.6077439936084	0.643135686431357	0.999174985209321	 Cell death signalling via NRAGE, NRIF and NADE *	1329388
74	11	5.91928321642332	0.645435456454355	0.999174985209321	 Nitrogen metabolism 	3060
751	38	33.0279712881353	0.646535346465353	0.999174985209321	 Ion channel transport 	1328789
1494	29	22.3557922398971	0.64973502649735	0.999174985209321	 Generic Transcription Pathway 	1329532
757	22	15.4107935520169	0.653134686531347	0.999174985209321	 DNA Repair 	1328795
667	11	8.98570558023015	0.660633936606339	0.999174985209321	 Kinesins 	1328705
1392	18	14.4807406173413	0.664633536646335	0.999174985209321	 Rho GTPase cycle 	1329430
1530	13	8.57301214416961	0.667133286671333	0.999174985209321	 Processing of Capped Intronless Pre-mRNA 	1329568
1210	14	9.32316057709381	0.678332166783322	0.999174985209321	 MAP kinase activation in TLR cascade 	1329248
88	15	7.29629791710807	0.683031696830317	0.999174985209321	 Protein export 	3077
1407	14	10.3831685031996	0.684531546845315	0.999174985209321	 Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer 	1329445
552	12	7.09217812543457	0.687331266873313	0.999174985209321	 Cellular responses to stress 	1328590
96	36	24.4120044115119	0.711628837116288	0.999174985209321	 Ubiquitin mediated proteolysis 	3089
119	55	35.3036552316378	0.713228677132287	0.999174985209321	 Protein processing in endoplasmic reticulum 	167200
112	33	23.5642352917707	0.713528647135287	0.999174985209321	 Neuroactive ligand-receptor interaction 	119911
768	11	8.36434412670705	0.728027197280272	0.999174985209321	 DNA Damage Bypass 	1328806
450	12	7.08500742939269	0.733626637336266	0.999174985209321	 FoxO signaling pathway 	921318
85	14	9.21366486058205	0.762923707629237	0.999174985209321	 Basal transcription factors 	3074
594	15	10.5296321573103	0.767623237676232	0.999174985209321	 Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell 	1328632
1410	10	5.76805695814438	0.777222277772223	0.999174985209321	 Signaling by NOTCH 	1329448
121	62	41.8212644207685	0.782521747825217	0.999174985209321	 RNA transport 	175313
1130	10	4.73022748366985	0.797020297970203	0.999174985209321	 Gamma carboxylation, hypusine formation and arylsulfatase activation 	1329168
830	12	7.70448491726036	0.807619238076192	0.999174985209321	 Developmental Biology 	1328868
1129	26	17.838562460325	0.813618638136186	0.999174985209321	 Post-translational protein modification 	1329167
132	11	4.98715867562825	0.815018498150185	0.999174985209321	 Eukaryotic Transcription Initiation 	198256
1461	10	5.58416795295062	0.818218178182182	0.999174985209321	 PCP/CE pathway 	1329499
702	10	4.0662823566434	0.832016798320168	0.999174985209321	 Endosomal Sorting Complex Required For Transport (ESCRT) 	1328740
706	39	26.8989069317124	0.838316168383162	0.999174985209321	 Transmembrane transport of small molecules 	1328744
666	17	10.2403876942347	0.847715228477152	0.999174985209321	 Factors involved in megakaryocyte development and platelet production 	1328704
118	10	5.09908717773155	0.853414658534147	0.999174985209321	 Phagosome 	153863
441	33	23.2668714437121	0.864813518648135	0.999174985209321	 Hippo signaling pathway - fly 	731800
822	11	6.74232818651133	0.869113088691131	0.999174985209321	 Cell-Cell communication 	1328860
154	13	8.9807410363079	0.870712928707129	0.999174985209321	 Fanconi anemia pathway 	377145
1546	20	7.38349871938802	0.891810818918108	0.999174985209321	 Nonsense-Mediated Decay (NMD) *	1329584
109	38	25.3025750849837	0.892210778922108	0.999174985209321	 Endocytosis 	102186
1499	10	4.61344907502309	0.9005099490051	0.999174985209321	 RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription 	1329537
97	12	4.11946213482631	0.902809719028097	0.999174985209321	 SNARE interactions in vesicular transport 	3090
670	31	15.7483870995147	0.906609339066093	0.999174985209321	 Extracellular matrix organization 	1328708
1419	14	7.70897683063414	0.907909209079092	0.999174985209321	 GPCR ligand binding 	1329457
831	24	15.4433218222562	0.918308169183082	0.999174985209321	 Axon guidance 	1328869
1391	17	10.5878024020914	0.923307669233077	0.999174985209321	 Signaling by Rho GTPases 	1329429
1510	10	4.20212312944145	0.923807619238076	0.999174985209321	 RNA Polymerase II Transcription 	1329548
1511	12	6.22353194568453	0.936606339366063	0.999174985209321	 RNA Polymerase II Pre-transcription Events 	1329549
122	21	11.3146840508738	0.951004899510049	0.999174985209321	 mRNA surveillance pathway 	193203
100	15	7.30186771136963	0.96030396960304	0.999174985209321	 Wnt signaling pathway 	3094
1288	32	19.5216591039696	0.967203279672033	0.999174985209321	 Signal Transduction 	1329326
635	13	6.77463962987072	0.974502549745025	0.999174985209321	 Hemostasis 	1328673
1177	23	10.1194508709177	0.974802519748025	0.999174985209321	 Immune System 	1329215
1526	18	6.29900212874025	0.977302269773023	0.999174985209321	 mRNA Splicing - Minor Pathway 	1329564
1111	16	4.59462557248661	0.97970202979702	0.999174985209321	 Metabolism of proteins 	1329149
143	10	4.15729812986603	0.980901909809019	0.999174985209321	 mRNA processing 	198267
686	39	21.1892666057697	0.986401359864014	0.999174985209321	 Vesicle-mediated transport 	1328724
1493	19	7.62264860745598	0.995500449955005	0.999174985209321	 Gene Expression 	1329531
134	28	5.89173309256078	0.995900409959004	0.999174985209321	 Cytoplasmic Ribosomal Proteins 	198258
114	21	8.11037656118334	0.996200379962004	0.999174985209321	 Spliceosome 	124840
1523	38	16.3507085563608	0.997500249975003	0.999174985209321	 Processing of Capped Intron-Containing Pre-mRNA 	1329561
1117	33	7.30584022747655	0.997600239976002	0.999174985209321	 Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S *	1329155
575	15	3.79750087701873	0.999400059994001	0.999174985209321	 Neuronal System 	1328613
16	13	2.92896845031403	0.999600039996	0.999174985209321	 Purine metabolism 	2982
