setID	setSize	setScore	setP	setQ	setName	setID.orig
349	12	28.9706390559543	1.999998000002e-06	0	 Laminin interactions 	1326465
28	10	18.5834588300419	7.7999922000078e-05	0.00878015367384507	 Phenylalanine metabolism 	83546
903	33	53.2619010900912	8.2999917000083e-05	0.00878015367384507	 Visual phototransduction 	1327019
1009	118	167.725318125282	0.000236999763000237	0.029729292270656	 Metabolism of carbohydrates 	1327125
418	18	29.6500456928653	0.00123999876000124	0.115756880191177	 Gamma carboxylation, hypusine formation and arylsulfatase activation 	1326534
340	61	98.2302641449015	0.00150499849500151	0.115756880191177	 Extracellular matrix organization 	1326456
1104	10	17.3220054359283	0.00378699621300379	0.165952299866409	 Acyl chain remodelling of PE 	1327220
89	24	36.2881545588819	0.00382499617500383	0.165952299866409	 Base excision repair 	83622
77	30	48.0446734915195	0.00393099606900393	0.165952299866409	 Aminoacyl-tRNA biosynthesis 	83610
1253	30	40.1537937602024	0.003995996004004	0.165952299866409	 Phase II conjugation 	1327369
31	11	18.7005307575625	0.00662762285839098	0.237300638053235	 beta-Alanine metabolism 	83550
37	11	16.8307066258785	0.0103163054769276	0.32602252224501	 Glutathione metabolism 	83557
1497	10	13.7877810580408	0.0144028159919543	0.406831170077715	 Nucleosome assembly *	1327613
20	29	39.8345714518202	0.0207879168483326	0.522973569743493	 Glycine, serine and threonine metabolism 	83536
990	17	22.0580899096474	0.0250248748756256	0.547601019138334	 Lysosome Vesicle Biogenesis 	1327106
510	10	14.885667185498	0.0256698716506417	0.547601019138334	 Formation of Fibrin Clot (Clotting Cascade) 	1326626
73	13	17.683763251193	0.0329247942200361	0.603322138973137	 Porphyrin and chlorophyll metabolism 	83602
438	15	24.2229965188227	0.0392304674579426	0.603322138973137	 N-glycan trimming in the ER and Calnexin/Calreticulin cycle 	1326554
554	65	63.888101774885	0.0401381527834401	0.603322138973137	 Mitochondrial translation *	1326670
115	11	16.6340762628956	0.0470722993427332	0.603322138973137	 Cysteine and methionine metabolism 	104461
1100	36	48.4239729485473	0.050779492205078	0.603322138973137	 Glycerophospholipid biosynthesis 	1327216
966	18	25.1809933478306	0.0526094739052609	0.603322138973137	 Transport of vitamins, nucleosides, and related molecules 	1327082
1579	10	17.2464274025119	0.0531794682053179	0.603322138973137	 RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways 	1327695
298	20	27.2722479707277	0.0541294587054129	0.603322138973137	 Apoptosis 	921011
101	23	25.0801070869957	0.0550094499055009	0.603322138973137	 SNARE interactions in vesicular transport 	83634
56	34	43.0828316703379	0.0550694493055069	0.603322138973137	 Sphingolipid metabolism 	83578
301	33	46.2756591931594	0.0551394486055139	0.603322138973137	 Cell cycle 	921014
1519	15	24.2884291385209	0.0656116798540018	0.635244709937703	 Antigen activates B Cell Receptor (BCR) leading to generation of second messengers 	1327635
1218	12	16.5072131533243	0.0678741515731053	0.635244709937703	 Amine-derived hormones 	1327334
25	11	15.9307026880779	0.0686491418857264	0.635244709937703	 Arginine and proline metabolism 	83543
111	48	62.4904013646712	0.0760560563420523	0.635244709937703	 Lysosome 	98649
1127	20	26.294599017982	0.0804988500164283	0.635244709937703	 Arachidonic acid metabolism 	1327243
196	10	15.5627591505834	0.0814988357309181	0.635244709937703	 Nuclear receptors in lipid metabolism and toxicity 	198972
201	50	63.8457728156477	0.0877152047465876	0.635244709937703	 Ribosome biogenesis in eukaryotes 	199366
558	39	52.3144385790197	0.089915168080532	0.635244709937703	 Anchoring of the basal body to the plasma membrane 	1326674
641	26	33.2463773086282	0.0925817903034949	0.635244709937703	 Striated Muscle Contraction 	1326757
183	21	26.923395749727	0.0936484391926801	0.635244709937703	 Translation Factors 	198959
1205	10	13.6499844919161	0.0978317028049532	0.635244709937703	 Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism 	1327321
1057	22	28.701308659235	0.103797924041519	0.635244709937703	 Triglyceride Biosynthesis 	1327173
1322	11	15.8477400833803	0.104037919241615	0.635244709937703	 RNA Polymerase I Transcription Initiation 	1327438
24	18	25.7149641987157	0.104337913241735	0.635244709937703	 Lysine degradation 	83542
1203	10	13.3205836644897	0.104897902041959	0.635244709937703	 Branched-chain amino acid catabolism 	1327319
10	13	18.6956509456876	0.105097898042039	0.635244709937703	 Fatty acid degradation 	83523
1041	17	25.1700855307417	0.105917881642367	0.635244709937703	 Inositol phosphate metabolism 	1327157
88	14	15.9386655430546	0.111417771644567	0.646978892326687	 Protein export 	83621
430	36	40.9648147364001	0.121017579648407	0.665187737940888	 Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein 	1326546
90	17	22.3957572006255	0.125077498450031	0.665187737940888	 Nucleotide excision repair 	83623
203	26	36.1748140157869	0.126396840078998	0.665187737940888	 Fanconi anemia pathway 	377240
403	20	19.3347887340515	0.133846653833654	0.665187737940888	 Formation of the ternary complex, and subsequently, the 43S complex 	1326519
852	11	13.1761888125034	0.134971625709357	0.665187737940888	 Class B/2 (Secretin family receptors) 	1326968
1161	10	13.1366464297729	0.135121621959451	0.665187737940888	 Pyruvate metabolism 	1327277
173	22	30.448409243102	0.145596360090998	0.694035106324557	 Integrin-mediated cell adhesion 	198949
1349	15	17.9171103726344	0.159821004474888	0.733766032707683	 mRNA 3'-end processing 	1327465
977	52	73.4140792192949	0.164395890102747	0.737104504272296	 Ion channel transport 	1327093
357	14	19.320053740889	0.17836072130929	0.771782365103857	 Chromatin organization *	1326473
895	11	14.7343049857288	0.190660311322956	0.79462647498451	 Ca2+ pathway 	1327011
296	16	21.6652125548263	0.192026932435585	0.79462647498451	 T Cell Receptor Signaling Pathway 	921009
112	14	18.7350450222099	0.204259858004733	0.819567769683367	 Alanine, aspartate and glutamate metabolism 	101034
368	18	21.0349167211748	0.209493016899437	0.822319637689227	 Programmed Cell Death *	1326484
127	18	23.0725308503633	0.232358921369288	0.854866152609264	 Cell adhesion molecules (CAMs) 	119267
74	11	12.9950761238733	0.23675877470751	0.854866152609264	 Terpenoid backbone biosynthesis 	83603
1534	16	20.0624465229373	0.245091830272324	0.854866152609264	 Toll-Like Receptors Cascades 	1327650
417	10	13.6990600187721	0.245758474717509	0.854866152609264	 Post-translational protein modification 	1326533
187	40	53.1573434612035	0.245991800273324	0.854866152609264	 EGFR1 Signaling Pathway 	198963
302	27	33.8658330216866	0.247625079164028	0.854866152609264	 Insulin Signaling 	921015
1163	13	15.4607756831095	0.257937103144843	0.871223923024074	 Citric acid cycle (TCA cycle) 	1327279
1001	11	12.3574890440268	0.266386680665967	0.881411777471272	 Endosomal Sorting Complex Required For Transport (ESCRT) 	1327117
911	12	13.4570195057897	0.286485675716214	0.92280017173802	 RA biosynthesis pathway 	1327027
1464	41	55.3535176482398	0.292885355732213	0.923360221739137	 Mitotic Prometaphase 	1327580
146	26	30.0072909850386	0.300534973251337	0.923360221739137	 Phagosome 	153899
159	14	16.2900859854189	0.301584920753962	0.923360221739137	 neural crest development 	198935
1181	12	12.9748989548634	0.311984400779961	0.927515755634826	 Synthesis and interconversion of nucleotide di- and triphosphates 	1327297
1671	14	16.7060860323786	0.314134293285336	0.927515755634826	 Nonhomologous End-Joining (NHEJ) 	1327787
1093	13	13.5236564556277	0.327483625818709	0.932258262067923	 Metabolism of steroid hormones 	1327209
